Age,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Gender,Academic_Level,Country,Most_Used_Platform,Affects_Academic_Performance,Relationship_Status
20,2.2,9.6,8,2,Female,Undergraduate,Switzerland,Instagram,No,Single
19,3.1,8.5,8,1,Female,Undergraduate,Japan,LINE,No,Single
19,5.1,7.0,7,2,Female,Undergraduate,Sri Lanka,Facebook,No,Single
20,3.9,6.5,7,2,Male,Undergraduate,Serbia,YouTube,No,Complicated
22,4.2,8.1,7,2,Male,Graduate,China,WeChat,No,In Relationship
20,6.6,6.1,5,4,Female,Undergraduate,Turkey,Instagram,Yes,Single
22,3.1,8.4,8,1,Male,Graduate,Germany,Facebook,No,In Relationship
19,7.2,5.6,5,4,Female,Undergraduate,India,WhatsApp,Yes,In Relationship
20,5.9,5.9,6,3,Male,Undergraduate,Sri Lanka,Facebook,Yes,Single
20,4.5,7.5,8,2,Female,Undergraduate,Australia,Instagram,No,Single
20,3.5,8.4,7,3,Female,Undergraduate,Ireland,TikTok,Yes,Single
19,5.8,6.6,6,3,Male,Undergraduate,Ireland,Instagram,Yes,Single
22,3.8,8.4,6,3,Male,Graduate,Canada,TikTok,Yes,Single
21,4.5,6.0,6,2,Male,Graduate,Canada,Facebook,Yes,In Relationship
21,5.3,6.9,6,3,Male,Graduate,Canada,Instagram,Yes,Single
22,4.1,7.5,5,3,Male,Graduate,Pakistan,Instagram,Yes,In Relationship
20,4.7,7.2,7,3,Female,Undergraduate,Ireland,TikTok,Yes,Single
21,5.6,6.6,5,3,Male,Graduate,Italy,TikTok,Yes,In Relationship
22,7.0,5.2,6,3,Male,Graduate,Mexico,WhatsApp,Yes,Single
21,4.9,7.3,6,3,Male,Graduate,Canada,Instagram,Yes,Single
21,4.3,7.9,6,3,Male,Graduate,Canada,Instagram,Yes,Single
19,4.1,7.9,7,2,Female,Undergraduate,France,Instagram,No,In Relationship
20,6.1,6.4,6,3,Female,Undergraduate,Brazil,Instagram,Yes,Single
20,4.8,7.0,6,3,Female,Undergraduate,South Korea,KakaoTalk,Yes,Single
20,4.5,7.3,7,2,Female,Undergraduate,Australia,Instagram,No,Single
20,4.3,7.5,7,2,Female,Undergraduate,Australia,Instagram,No,Single
20,4.1,7.8,6,3,Female,Undergraduate,Spain,TikTok,Yes,Single
19,7.0,5.8,4,5,Female,Undergraduate,India,TikTok,Yes,Single
19,5.7,6.4,6,3,Female,Undergraduate,Singapore,TikTok,Yes,Single
20,4.2,8.9,7,2,Female,Undergraduate,Sri Lanka,Facebook,No,Single
